case_id,description,assistance_category,people_affected,country,governorate,city,latitude,longitude,severity,urgency,required_resources,estimated_funding,current_funding,submission_date,status,priority
CASE-0248,People displaced by a house fire require clothing and blankets while they recover.,Clothing,8,Lebanon,Beirut,Beirut,33.87456,35.47829,High,Medium,seasonal clothing; blankets; hygiene kits,5624.08,1581.59,2025-12-11,Active,Medium
CASE-0249,"Residents affected by earthquake damage need urgent medicines, examinations, and transport to care.",Medical Aid,33,Egypt,Aswan,Aswan,24.09083,32.88564,High,High,medicines; clinic visits; medical transport,23289.42,347.56,2025-09-21,Active,High
CASE-0250,"A family needs medical assistance after flash flooding, including treatment and essential supplies.",Medical Aid,9,Egypt,Aswan,Aswan,24.106031,32.888558,Low,Medium,medicines; clinic visits; medical transport,2984.22,2971.72,2025-04-12,Completed,Low
CASE-0251,Families need clean drinking water and storage containers after local displacement affected local supplies.,Water,97,Jordan,Irbid,Irbid,32.556967,35.840489,Medium,Medium,clean water; filtration kits; storage containers,67843.60,2992.81,2026-08-05,Active,High
CASE-0252,Housing repairs and safe temporary accommodation are needed following a severe storm.,Emergency Housing,28,Egypt,Aswan,Aswan,24.094226,32.893609,High,Medium,temporary shelter; repair materials; mattresses,21738.64,1936.87,2026-02-04,Active,High
CASE-0253,Families need clean drinking water and storage containers after flash flooding affected local supplies.,Water,70,Egypt,Cairo,Cairo,30.068198,31.22388,High,Low,clean water; filtration kits; storage containers,48494.60,1578.34,2026-01-14,Active,High
CASE-0254,"Residents affected by earthquake damage need urgent medicines, examinations, and transport to care.",Medical Aid,6,Egypt,Aswan,Aswan,24.069541,32.919509,Medium,High,medicines; clinic visits; medical transport,4651.20,4152.73,2026-01-04,Funded,Medium
CASE-0255,Education support is needed for children whose learning was disrupted by earthquake damage.,Education,4,Tunisia,Tunis,Tunis,36.78198,10.18998,Medium,Medium,school kits; uniforms; learning materials,2284.80,157.25,2026-08-17,Active,Medium
CASE-0256,A 5-person household needs food parcels after local displacement disrupted its income.,Food,5,Tunisia,Tunis,Tunis,36.823879,10.186109,Low,High,food parcels; cooking staples; infant nutrition,3687.50,2933.22,2025-11-23,Funded,Low
CASE-0257,"A family needs medical assistance after earthquake damage, including treatment and essential supplies.",Medical Aid,3,Egypt,Cairo,Cairo,30.02003,31.21228,Low,Medium,medicines; clinic visits; medical transport,2077.98,1816.93,2026-01-15,Funded,Low
CASE-0258,"Residents affected by a severe storm need urgent medicines, examinations, and transport to care.",Medical Aid,12,Egypt,Aswan,Aswan,24.111562,32.902101,Low,Critical,medicines; clinic visits; medical transport,3837.36,1797.09,2025-06-06,Active,High
CASE-0259,A 45-person household needs food parcels after local displacement disrupted its income.,Food,45,Jordan,Irbid,Irbid,32.532937,35.857089,High,High,food parcels; cooking staples; infant nutrition,36451.80,543.59,2025-10-09,Active,High
CASE-0260,Housing repairs and safe temporary accommodation are needed following earthquake damage.,Emergency Housing,4,Jordan,Irbid,Irbid,32.570747,35.856649,Medium,Critical,temporary shelter; repair materials; mattresses,3176.96,2965.51,2025-06-29,Funded,Medium
CASE-0261,A 51-person household needs food parcels after local displacement disrupted its income.,Food,51,Egypt,Giza,6th of October,29.968134,30.941561,High,High,food parcels; cooking staples; infant nutrition,32487.84,1776.31,2026-02-15,Active,High
CASE-0262,A 31-person household needs food parcels after flash flooding disrupted its income.,Food,31,Egypt,Aswan,Aswan,24.071886,32.900398,High,High,food parcels; cooking staples; infant nutrition,12366.20,0.00,2026-01-15,Active,High
CASE-0263,A 9-person household needs food parcels after a severe storm disrupted its income.,Food,9,Egypt,Giza,6th of October,29.946305,30.919817,Low,High,food parcels; cooking staples; infant nutrition,5649.84,0.00,2025-06-10,Active,Medium
CASE-0264,"Residents affected by a house fire need urgent medicines, examinations, and transport to care.",Medical Aid,6,Jordan,Irbid,Irbid,32.558479,35.854538,Low,Low,medicines; clinic visits; medical transport,3886.92,3716.72,2025-07-13,Completed,Low
CASE-0265,"Residents affected by a severe storm need urgent medicines, examinations, and transport to care.",Medical Aid,36,Jordan,Irbid,Irbid,32.578782,35.832148,High,Medium,medicines; clinic visits; medical transport,16077.60,4741.97,2025-09-22,Active,High
CASE-0266,Children need school materials and fee support after a house fire interrupted household income.,Education,4,Egypt,Alexandria,Alexandria,31.203028,29.90301,Medium,Low,school kits; uniforms; learning materials,3160.64,2261.12,2025-12-01,Active,Low
CASE-0267,People displaced by earthquake damage require clothing and blankets while they recover.,Clothing,16,Egypt,Aswan,Aswan,24.078299,32.908848,Critical,Critical,seasonal clothing; blankets; hygiene kits,7767.52,692.08,2025-09-07,Active,Critical
CASE-0268,A 31-person family needs temporary shelter after a house fire made their home unsafe.,Emergency Housing,31,Egypt,Aswan,Aswan,24.097255,32.912907,High,Critical,temporary shelter; repair materials; mattresses,19193.02,2658.49,2025-03-19,Active,Critical
CASE-0269,"Families need seasonal clothing, blankets, and basic hygiene items after flash flooding.",Clothing,6,Tunisia,Tunis,Tunis,36.782354,10.158152,Medium,Low,seasonal clothing; blankets; hygiene kits,4920.48,4642.40,2026-02-02,Funded,Low
CASE-0270,Housing repairs and safe temporary accommodation are needed following flash flooding.,Emergency Housing,5,Egypt,Giza,6th of October,29.948187,30.929212,Low,Medium,temporary shelter; repair materials; mattresses,3327.60,3200.13,2026-03-16,Completed,Low
CASE-0271,A 7-person household needs food parcels after a house fire disrupted its income.,Food,7,Jordan,Irbid,Irbid,32.564949,35.837675,Low,Medium,food parcels; cooking staples; infant nutrition,4076.90,103.60,2025-11-09,Active,Medium
CASE-0272,A 8-person family needs temporary shelter after a severe storm made their home unsafe.,Emergency Housing,8,Egypt,Alexandria,Alexandria,31.196883,29.901826,Medium,Low,temporary shelter; repair materials; mattresses,4651.20,838.50,2025-06-17,Active,Medium
CASE-0273,"A family needs medical assistance after flash flooding, including treatment and essential supplies.",Medical Aid,37,Egypt,Giza,6th of October,29.966432,30.929016,Critical,High,medicines; clinic visits; medical transport,24140.20,2024.11,2025-08-17,Active,Critical
CASE-0274,Families affected by local displacement require staple food supplies for the coming weeks.,Food,43,Lebanon,Beirut,Beirut,33.91367,35.519606,High,Low,food parcels; cooking staples; infant nutrition,21516.88,2219.61,2026-03-22,Active,Medium
CASE-0275,"Families need seasonal clothing, blankets, and basic hygiene items after flash flooding.",Clothing,5,Egypt,Giza,6th of October,29.946704,30.949174,Medium,Medium,seasonal clothing; blankets; hygiene kits,4617.20,0.00,2026-08-05,Active,Medium
CASE-0276,A 12-person family needs temporary shelter after flash flooding made their home unsafe.,Emergency Housing,12,Egypt,Alexandria,Alexandria,31.21797,29.899598,Low,Medium,temporary shelter; repair materials; mattresses,5253.36,2946.40,2025-12-26,Active,Medium
CASE-0277,People displaced by a severe storm require clothing and blankets while they recover.,Clothing,12,Jordan,Irbid,Irbid,32.54443,35.837404,Low,Critical,seasonal clothing; blankets; hygiene kits,4163.04,2463.23,2026-01-26,Active,Medium
CASE-0278,Education support is needed for children whose learning was disrupted by a house fire.,Education,10,Egypt,Cairo,Cairo,30.037071,31.222381,Medium,Medium,school kits; uniforms; learning materials,6106.40,1238.42,2026-06-16,Active,Medium
CASE-0279,Families need clean drinking water and storage containers after a severe storm affected local supplies.,Water,102,Egypt,Giza,6th of October,29.952662,30.934697,Medium,Medium,clean water; filtration kits; storage containers,54215.04,1265.08,2026-05-24,Active,High
CASE-0280,A community requires emergency water deliveries because a severe storm disrupted access to safe water.,Water,109,Egypt,Cairo,Cairo,30.031802,31.241779,High,Medium,clean water; filtration kits; storage containers,73901.52,4758.48,2025-09-19,Active,High
CASE-0281,A 7-person family needs temporary shelter after a house fire made their home unsafe.,Emergency Housing,7,Egypt,Aswan,Aswan,24.070552,32.897498,Medium,Medium,temporary shelter; repair materials; mattresses,5174.80,2184.13,2026-01-12,Active,Medium
CASE-0282,"Families need seasonal clothing, blankets, and basic hygiene items after flash flooding.",Clothing,12,Egypt,Alexandria,Alexandria,31.180243,29.924128,High,High,seasonal clothing; blankets; hygiene kits,4878.72,3209.46,2025-05-11,Active,Medium
CASE-0283,"Families need seasonal clothing, blankets, and basic hygiene items after flash flooding.",Clothing,2,Egypt,Aswan,Aswan,24.106377,32.894199,Medium,High,seasonal clothing; blankets; hygiene kits,2630.24,2609.74,2025-03-29,Completed,Low
CASE-0284,"Residents affected by a house fire need urgent medicines, examinations, and transport to care.",Medical Aid,3,Egypt,Alexandria,Alexandria,31.221459,29.908154,Medium,Critical,medicines; clinic visits; medical transport,2696.88,1573.11,2025-10-30,Active,High
CASE-0285,Children need school materials and fee support after a severe storm interrupted household income.,Education,5,Egypt,Giza,6th of October,29.984621,30.910381,Medium,Medium,school kits; uniforms; learning materials,4256.80,1724.05,2025-10-30,Active,Medium
CASE-0286,A 6-person household needs food parcels after local displacement disrupted its income.,Food,6,Jordan,Amman,Amman,31.958672,35.927983,Low,Medium,food parcels; cooking staples; infant nutrition,2853.24,1058.38,2026-02-18,Active,Low
CASE-0287,"Residents affected by local displacement need urgent medicines, examinations, and transport to care.",Medical Aid,2,Jordan,Amman,Amman,31.929787,35.928934,Low,Low,medicines; clinic visits; medical transport,2180.64,2160.38,2025-05-30,Completed,Low
CASE-0288,Families need clean drinking water and storage containers after flash flooding affected local supplies.,Water,39,Egypt,Cairo,Cairo,30.030344,31.227836,Medium,Medium,clean water; filtration kits; storage containers,26364.96,2313.75,2026-06-16,Active,Medium
CASE-0289,People displaced by earthquake damage require clothing and blankets while they recover.,Clothing,11,Lebanon,Beirut,Beirut,33.894855,35.518366,Medium,Medium,seasonal clothing; blankets; hygiene kits,7417.44,820.52,2025-08-05,Active,Medium
CASE-0290,Families need clean drinking water and storage containers after a severe storm affected local supplies.,Water,149,Egypt,Giza,6th of October,29.947476,30.908909,High,Critical,clean water; filtration kits; storage containers,100742.18,490.88,2026-02-11,Active,Critical
CASE-0291,"Families need seasonal clothing, blankets, and basic hygiene items after a severe storm.",Clothing,18,Egypt,Cairo,Cairo,30.032895,31.236565,High,Critical,seasonal clothing; blankets; hygiene kits,12806.64,6404.52,2025-04-24,Active,High
CASE-0292,Children need school materials and fee support after earthquake damage interrupted household income.,Education,9,Jordan,Amman,Amman,31.966313,35.937914,Medium,High,school kits; uniforms; learning materials,4271.76,1216.00,2026-03-01,Active,Medium
CASE-0293,"Families need seasonal clothing, blankets, and basic hygiene items after a house fire.",Clothing,5,Egypt,Alexandria,Alexandria,31.189613,29.896964,High,Medium,seasonal clothing; blankets; hygiene kits,5028.10,0.00,2025-10-19,Active,Medium
CASE-0294,A 10-person household needs food parcels after a house fire disrupted its income.,Food,10,Lebanon,Beirut,Beirut,33.900922,35.490515,Medium,Critical,food parcels; cooking staples; infant nutrition,5440.00,2919.42,2026-08-18,Active,High
CASE-0295,"Residents affected by earthquake damage need urgent medicines, examinations, and transport to care.",Medical Aid,42,Egypt,Aswan,Aswan,24.072591,32.878992,High,High,medicines; clinic visits; medical transport,14839.44,292.12,2025-09-04,Active,High
CASE-0296,Children need school materials and fee support after flash flooding interrupted household income.,Education,3,Jordan,Irbid,Irbid,32.580407,35.85704,Medium,High,school kits; uniforms; learning materials,3006.96,627.01,2025-05-07,Active,Medium
CASE-0297,"Families need seasonal clothing, blankets, and basic hygiene items after earthquake damage.",Clothing,4,Egypt,Aswan,Aswan,24.105396,32.884782,Medium,High,seasonal clothing; blankets; hygiene kits,2290.24,0.00,2025-10-07,Active,Medium
CASE-0298,Children need school materials and fee support after a severe storm interrupted household income.,Education,6,Tunisia,Tunis,Tunis,36.825656,10.189912,Medium,Medium,school kits; uniforms; learning materials,3835.20,1407.51,2025-11-28,Active,Medium
CASE-0299,People displaced by flash flooding require clothing and blankets while they recover.,Clothing,53,Tunisia,Tunis,Tunis,36.788264,10.159976,High,Low,seasonal clothing; blankets; hygiene kits,22852.06,1461.98,2025-05-27,Active,High
CASE-0300,"Families need seasonal clothing, blankets, and basic hygiene items after earthquake damage.",Clothing,26,Jordan,Irbid,Irbid,32.541089,35.870767,High,Medium,seasonal clothing; blankets; hygiene kits,18002.60,1626.68,2026-08-08,Active,High
CASE-0301,"Families need seasonal clothing, blankets, and basic hygiene items after flash flooding.",Clothing,11,Egypt,Cairo,Cairo,30.066755,31.246437,Medium,Medium,seasonal clothing; blankets; hygiene kits,7492.24,313.35,2025-08-19,Active,Medium
CASE-0302,"Families need seasonal clothing, blankets, and basic hygiene items after a severe storm.",Clothing,10,Jordan,Amman,Amman,31.949921,35.943635,Medium,Low,seasonal clothing; blankets; hygiene kits,5372.00,1300.79,2025-11-06,Active,Medium
CASE-0303,People displaced by local displacement require clothing and blankets while they recover.,Clothing,7,Egypt,Giza,6th of October,29.980491,30.907151,Medium,High,seasonal clothing; blankets; hygiene kits,4222.80,2369.78,2026-08-03,Active,Medium
CASE-0304,"Residents affected by a severe storm need urgent medicines, examinations, and transport to care.",Medical Aid,41,Egypt,Cairo,Cairo,30.044172,31.216024,High,High,medicines; clinic visits; medical transport,15276.80,4017.11,2025-09-07,Active,High
CASE-0305,A 9-person household needs food parcels after local displacement disrupted its income.,Food,9,Jordan,Amman,Amman,31.93412,35.915489,Low,Critical,food parcels; cooking staples; infant nutrition,3313.44,0.00,2025-10-18,Active,Medium
CASE-0306,Housing repairs and safe temporary accommodation are needed following a severe storm.,Emergency Housing,12,Jordan,Irbid,Irbid,32.5375,35.834121,Medium,Medium,temporary shelter; repair materials; mattresses,5108.16,2401.29,2025-08-29,Active,Medium
CASE-0307,Children need school materials and fee support after a severe storm interrupted household income.,Education,2,Egypt,Giza,6th of October,29.955811,30.906613,Medium,Medium,school kits; uniforms; learning materials,2105.28,1521.85,2025-04-14,Active,Low
CASE-0308,"A family needs medical assistance after flash flooding, including treatment and essential supplies.",Medical Aid,3,Egypt,Alexandria,Alexandria,31.207983,29.941446,Medium,Medium,medicines; clinic visits; medical transport,2554.08,2537.55,2025-08-03,Completed,Low
CASE-0309,Families need clean drinking water and storage containers after a severe storm affected local supplies.,Water,113,Lebanon,Beirut,Beirut,33.908242,35.480075,Low,High,clean water; filtration kits; storage containers,25863.24,4956.34,2026-08-21,Active,High
CASE-0310,Families affected by a severe storm require staple food supplies for the coming weeks.,Food,5,Jordan,Irbid,Irbid,32.553726,35.850075,Medium,High,food parcels; cooking staples; infant nutrition,3978.00,2955.79,2025-11-04,Active,Medium
CASE-0311,"Families need seasonal clothing, blankets, and basic hygiene items after flash flooding.",Clothing,25,Jordan,Amman,Amman,31.964321,35.931002,High,High,seasonal clothing; blankets; hygiene kits,15092.00,301.29,2025-11-07,Active,High
CASE-0312,Education support is needed for children whose learning was disrupted by earthquake damage.,Education,19,Egypt,Aswan,Aswan,24.096181,32.90657,High,High,school kits; uniforms; learning materials,9373.98,1671.12,2026-04-27,Active,High
CASE-0313,Housing repairs and safe temporary accommodation are needed following flash flooding.,Emergency Housing,21,Jordan,Amman,Amman,31.929787,35.949167,Critical,High,temporary shelter; repair materials; mattresses,8230.20,2288.98,2026-01-07,Active,High
CASE-0314,A community requires emergency water deliveries because a house fire disrupted access to safe water.,Water,89,Egypt,Giza,6th of October,29.965913,30.90556,Medium,Critical,clean water; filtration kits; storage containers,33057.52,1500.09,2026-01-01,Active,High
CASE-0315,Housing repairs and safe temporary accommodation are needed following earthquake damage.,Emergency Housing,8,Egypt,Alexandria,Alexandria,31.215684,29.942315,Low,High,temporary shelter; repair materials; mattresses,5621.52,0.00,2025-06-01,Active,Medium
CASE-0316,Education support is needed for children whose learning was disrupted by a house fire.,Education,6,Tunisia,Tunis,Tunis,36.786227,10.187112,Medium,Critical,school kits; uniforms; learning materials,4651.20,3435.35,2026-03-13,Active,Medium
CASE-0317,Children need school materials and fee support after earthquake damage interrupted household income.,Education,7,Egypt,Giza,6th of October,29.989885,30.904675,High,Medium,school kits; uniforms; learning materials,6829.90,2508.95,2025-05-11,Active,Medium
CASE-0318,Families need clean drinking water and storage containers after earthquake damage affected local supplies.,Water,42,Tunisia,Tunis,Tunis,36.812448,10.180209,Critical,Critical,clean water; filtration kits; storage containers,16646.16,0.00,2026-08-20,Active,Critical
CASE-0319,"Families need seasonal clothing, blankets, and basic hygiene items after a severe storm.",Clothing,7,Egypt,Giza,6th of October,29.950916,30.915478,Low,Medium,seasonal clothing; blankets; hygiene kits,3135.26,1823.79,2025-09-11,Active,Low
CASE-0320,"A family needs medical assistance after flash flooding, including treatment and essential supplies.",Medical Aid,47,Jordan,Amman,Amman,31.948981,35.939048,Critical,Medium,medicines; clinic visits; medical transport,30084.52,0.00,2025-10-03,Active,High
CASE-0321,A 3-person family needs temporary shelter after earthquake damage made their home unsafe.,Emergency Housing,3,Jordan,Irbid,Irbid,32.546124,35.8567,Low,Medium,temporary shelter; repair materials; mattresses,2832.00,2048.98,2026-08-29,Active,Low
CASE-0322,Education support is needed for children whose learning was disrupted by earthquake damage.,Education,12,Jordan,Irbid,Irbid,32.555167,35.861041,Medium,High,school kits; uniforms; learning materials,5744.64,3574.15,2026-08-13,Active,Medium
CASE-0323,"Families need seasonal clothing, blankets, and basic hygiene items after flash flooding.",Clothing,9,Jordan,Amman,Amman,31.959531,35.938905,Medium,Low,seasonal clothing; blankets; hygiene kits,4969.44,4558.42,2025-10-15,Funded,Low
CASE-0324,Housing repairs and safe temporary accommodation are needed following a house fire.,Emergency Housing,13,Egypt,Cairo,Cairo,30.053047,31.248965,High,Critical,temporary shelter; repair materials; mattresses,9994.60,1389.16,2026-05-07,Active,Critical
CASE-0325,A 48-person family needs temporary shelter after flash flooding made their home unsafe.,Emergency Housing,48,Jordan,Irbid,Irbid,32.557587,35.852058,High,Critical,temporary shelter; repair materials; mattresses,20753.04,2811.06,2025-11-07,Active,Critical
CASE-0326,"A family needs medical assistance after earthquake damage, including treatment and essential supplies.",Medical Aid,9,Egypt,Giza,6th of October,29.949734,30.913106,Medium,Medium,medicines; clinic visits; medical transport,6254.64,4396.65,2025-12-30,Active,Medium
CASE-0327,"Residents affected by a house fire need urgent medicines, examinations, and transport to care.",Medical Aid,7,Jordan,Amman,Amman,31.96633,35.927678,Low,Medium,medicines; clinic visits; medical transport,2961.80,2472.53,2025-12-13,Funded,Low
CASE-0328,"A family needs medical assistance after flash flooding, including treatment and essential supplies.",Medical Aid,11,Tunisia,Tunis,Tunis,36.788849,10.203766,Medium,High,medicines; clinic visits; medical transport,8928.40,1867.48,2025-09-02,Active,High
CASE-0329,A community requires emergency water deliveries because a severe storm disrupted access to safe water.,Water,91,Egypt,Giza,6th of October,29.969135,30.915272,Medium,Medium,clean water; filtration kits; storage containers,54688.32,6447.17,2026-06-12,Active,High
CASE-0330,Children need school materials and fee support after a house fire interrupted household income.,Education,3,Jordan,Amman,Amman,31.9549,35.919461,Low,High,school kits; uniforms; learning materials,2056.74,1996.83,2025-08-11,Completed,Low
CASE-0331,A community requires emergency water deliveries because earthquake damage disrupted access to safe water.,Water,50,Jordan,Irbid,Irbid,32.540933,35.843876,Medium,High,clean water; filtration kits; storage containers,19448.00,2625.98,2025-10-07,Active,High
CASE-0332,Families affected by flash flooding require staple food supplies for the coming weeks.,Food,35,Tunisia,Tunis,Tunis,36.791783,10.195684,High,High,food parcels; cooking staples; infant nutrition,21275.10,395.83,2026-08-16,Active,High
CASE-0333,Families need clean drinking water and storage containers after flash flooding affected local supplies.,Water,45,Egypt,Aswan,Aswan,24.090599,32.903927,Medium,High,clean water; filtration kits; storage containers,20808.00,8528.00,2025-11-21,Active,Medium
CASE-0334,People displaced by a house fire require clothing and blankets while they recover.,Clothing,42,Egypt,Giza,6th of October,29.979727,30.928775,Critical,Medium,seasonal clothing; blankets; hygiene kits,16429.44,1467.10,2025-05-14,Active,High
CASE-0335,Families need clean drinking water and storage containers after a severe storm affected local supplies.,Water,64,Jordan,Irbid,Irbid,32.555091,35.864625,Low,Low,clean water; filtration kits; storage containers,31949.68,4355.82,2025-12-09,Active,Medium
CASE-0336,"A family needs medical assistance after a severe storm, including treatment and essential supplies.",Medical Aid,2,Jordan,Amman,Amman,31.958243,35.944554,Medium,High,medicines; clinic visits; medical transport,2137.92,989.85,2025-06-06,Active,Medium
CASE-0337,Education support is needed for children whose learning was disrupted by local displacement.,Education,11,Tunisia,Tunis,Tunis,36.798356,10.178444,Medium,Critical,school kits; uniforms; learning materials,6190.72,2659.39,2026-03-21,Active,High
CASE-0338,Families affected by a severe storm require staple food supplies for the coming weeks.,Food,18,Egypt,Alexandria,Alexandria,31.186877,29.925355,High,High,food parcels; cooking staples; infant nutrition,8759.52,1976.66,2026-04-22,Active,High
CASE-0339,Housing repairs and safe temporary accommodation are needed following flash flooding.,Emergency Housing,11,Egypt,Alexandria,Alexandria,31.191629,29.896146,Medium,Medium,temporary shelter; repair materials; mattresses,5906.48,3335.10,2026-01-16,Active,Medium
CASE-0340,People displaced by flash flooding require clothing and blankets while they recover.,Clothing,53,Egypt,Alexandria,Alexandria,31.192353,29.900107,High,Medium,seasonal clothing; blankets; hygiene kits,33299.42,8958.17,2025-12-30,Active,High
CASE-0341,A community requires emergency water deliveries because a house fire disrupted access to safe water.,Water,39,Egypt,Giza,6th of October,29.954827,30.949861,Medium,High,clean water; filtration kits; storage containers,16658.64,761.66,2026-04-11,Active,High
CASE-0342,"A family needs medical assistance after earthquake damage, including treatment and essential supplies.",Medical Aid,23,Tunisia,Tunis,Tunis,36.800306,10.203136,Critical,Medium,medicines; clinic visits; medical transport,19982.96,3003.84,2025-12-07,Active,High
CASE-0343,People displaced by local displacement require clothing and blankets while they recover.,Clothing,9,Egypt,Aswan,Aswan,24.096803,32.890699,Low,High,seasonal clothing; blankets; hygiene kits,4736.52,2880.64,2025-04-16,Active,Low
CASE-0344,People displaced by a severe storm require clothing and blankets while they recover.,Clothing,28,Jordan,Amman,Amman,31.933614,35.929989,High,High,seasonal clothing; blankets; hygiene kits,22773.52,1966.80,2026-08-10,Active,High
CASE-0345,Children need school materials and fee support after a house fire interrupted household income.,Education,43,Egypt,Alexandria,Alexandria,31.176792,29.906097,Critical,High,school kits; uniforms; learning materials,28543.40,2252.39,2025-12-12,Active,High
CASE-0346,"Residents affected by a severe storm need urgent medicines, examinations, and transport to care.",Medical Aid,24,Tunisia,Tunis,Tunis,36.814575,10.171141,High,Medium,medicines; clinic visits; medical transport,17241.84,1610.53,2025-09-26,Active,High
CASE-0347,"Families need seasonal clothing, blankets, and basic hygiene items after a house fire.",Clothing,9,Egypt,Aswan,Aswan,24.079369,32.888274,High,Medium,seasonal clothing; blankets; hygiene kits,3922.38,0.00,2025-09-30,Active,Medium
CASE-0348,Families need clean drinking water and storage containers after earthquake damage affected local supplies.,Water,63,Lebanon,Beirut,Beirut,33.881389,35.478245,Medium,Critical,clean water; filtration kits; storage containers,34896.24,1970.42,2026-06-15,Active,High
CASE-0349,Families affected by flash flooding require staple food supplies for the coming weeks.,Food,5,Egypt,Cairo,Cairo,30.041364,31.257889,Medium,High,food parcels; cooking staples; infant nutrition,2713.20,1221.74,2026-06-18,Active,Medium
CASE-0350,"Residents affected by earthquake damage need urgent medicines, examinations, and transport to care.",Medical Aid,3,Jordan,Irbid,Irbid,32.536056,35.86394,Medium,High,medicines; clinic visits; medical transport,2958.00,1543.67,2025-05-05,Active,Medium
CASE-0351,Education support is needed for children whose learning was disrupted by earthquake damage.,Education,7,Lebanon,Beirut,Beirut,33.915395,35.480959,Medium,High,school kits; uniforms; learning materials,5565.12,4936.94,2025-06-08,Funded,Medium
CASE-0352,"Residents affected by a severe storm need urgent medicines, examinations, and transport to care.",Medical Aid,10,Egypt,Alexandria,Alexandria,31.182379,29.920889,High,High,medicines; clinic visits; medical transport,9116.80,592.91,2026-03-22,Active,High
CASE-0353,Education support is needed for children whose learning was disrupted by local displacement.,Education,11,Egypt,Cairo,Cairo,30.068867,31.229136,Medium,High,school kits; uniforms; learning materials,6086.00,0.00,2026-01-23,Active,High
CASE-0354,Families affected by local displacement require staple food supplies for the coming weeks.,Food,20,Jordan,Amman,Amman,31.97026,35.949808,High,High,food parcels; cooking staples; infant nutrition,14630.00,2008.66,2026-02-16,Active,High
CASE-0355,A community requires emergency water deliveries because a severe storm disrupted access to safe water.,Water,115,Jordan,Amman,Amman,31.951245,35.922256,Critical,Critical,clean water; filtration kits; storage containers,84624.00,2243.09,2025-05-31,Active,Critical
CASE-0356,A community requires emergency water deliveries because a house fire disrupted access to safe water.,Water,106,Egypt,Cairo,Cairo,30.056376,31.234848,Medium,Medium,clean water; filtration kits; storage containers,39858.88,4716.00,2025-11-05,Active,High
CASE-0357,A community requires emergency water deliveries because a severe storm disrupted access to safe water.,Water,96,Jordan,Amman,Amman,31.929608,35.9461,High,Low,clean water; filtration kits; storage containers,55495.44,2602.33,2025-09-29,Active,High
CASE-0358,Families need clean drinking water and storage containers after a severe storm affected local supplies.,Water,115,Jordan,Amman,Amman,31.965079,35.952843,High,High,clean water; filtration kits; storage containers,67798.50,5194.05,2025-09-22,Active,High
CASE-0359,Families affected by a severe storm require staple food supplies for the coming weeks.,Food,9,Jordan,Amman,Amman,31.965158,35.922208,Medium,High,food parcels; cooking staples; infant nutrition,6585.12,630.96,2026-04-23,Active,Medium
CASE-0360,Families need clean drinking water and storage containers after local displacement affected local supplies.,Water,102,Jordan,Irbid,Irbid,32.575991,35.86363,High,Medium,clean water; filtration kits; storage containers,44111.76,2350.92,2026-03-25,Active,High
CASE-0361,Education support is needed for children whose learning was disrupted by a severe storm.,Education,8,Egypt,Giza,6th of October,29.947086,30.950033,Medium,Medium,school kits; uniforms; learning materials,3976.64,2445.01,2025-10-12,Active,Low
CASE-0362,Families need clean drinking water and storage containers after flash flooding affected local supplies.,Water,58,Egypt,Giza,6th of October,29.974198,30.917791,Medium,Low,clean water; filtration kits; storage containers,36246.72,3719.98,2026-03-15,Active,Medium
CASE-0363,A 6-person family needs temporary shelter after local displacement made their home unsafe.,Emergency Housing,6,Egypt,Alexandria,Alexandria,31.196696,29.940203,Medium,Low,temporary shelter; repair materials; mattresses,3663.84,484.80,2025-11-15,Active,Medium
CASE-0364,People displaced by flash flooding require clothing and blankets while they recover.,Clothing,51,Egypt,Alexandria,Alexandria,31.197704,29.934017,Critical,Critical,seasonal clothing; blankets; hygiene kits,24092.04,1092.89,2026-03-24,Active,Critical
CASE-0365,Housing repairs and safe temporary accommodation are needed following earthquake damage.,Emergency Housing,5,Jordan,Irbid,Irbid,32.560671,35.860421,Medium,Low,temporary shelter; repair materials; mattresses,3753.60,2084.59,2025-04-09,Active,Medium
CASE-0366,A 23-person family needs temporary shelter after local displacement made their home unsafe.,Emergency Housing,23,Egypt,Alexandria,Alexandria,31.20151,29.91318,High,Critical,temporary shelter; repair materials; mattresses,8540.84,585.78,2026-02-12,Active,Critical
CASE-0367,"Families need seasonal clothing, blankets, and basic hygiene items after local displacement.",Clothing,26,Egypt,Alexandria,Alexandria,31.189497,29.904307,High,High,seasonal clothing; blankets; hygiene kits,13878.48,7960.89,2026-04-27,Active,High
CASE-0368,A 18-person household needs food parcels after a house fire disrupted its income.,Food,18,Egypt,Giza,6th of October,29.984279,30.922107,High,Medium,food parcels; cooking staples; infant nutrition,9424.80,786.09,2026-08-01,Active,High
CASE-0369,A 50-person household needs food parcels after flash flooding disrupted its income.,Food,50,Egypt,Cairo,Cairo,30.0457,31.217239,High,Medium,food parcels; cooking staples; infant nutrition,24178.00,0.00,2025-08-10,Active,High
CASE-0370,Housing repairs and safe temporary accommodation are needed following a house fire.,Emergency Housing,10,Egypt,Alexandria,Alexandria,31.178807,29.901857,Low,High,temporary shelter; repair materials; mattresses,4613.80,0.00,2025-03-26,Active,High
CASE-0371,Families affected by local displacement require staple food supplies for the coming weeks.,Food,4,Lebanon,Beirut,Beirut,33.888454,35.518496,Medium,Critical,food parcels; cooking staples; infant nutrition,4041.92,4022.31,2026-04-09,Completed,Medium
